cislo;id;typ;titul;stav;subjekty;meta;posledni_commit;soubor;akce
"133";"SRC-23";"source";"SRC-23 — Hlídač státu (Turek, firmy)";"";"turek";"outlet=Hlídač státu · published= · claims=CLM-20";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-23.md";""
"134";"SRC-24";"source";"SRC-24 — Hlídač státu (Macinka, firmy)";"";"macinka";"outlet=Hlídač státu · published= · claims=CLM-22";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-24.md";""
"135";"SRC-25";"source";"SRC-25 — Hlídač státu (Turek, sponzoring)";"";"turek";"outlet=Hlídač státu · published= · claims=CLM-21";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-25.md";""
"136";"SRC-26";"source";"SRC-26 — Hlídač státu (Macinka, sponzoring)";"";"macinka";"outlet=Hlídač státu · published= · claims=CLM-23";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-26.md";""
"137";"SRC-27";"source";"SRC-27 — Hlídač státu (Macinka, funkce)";"";"macinka";"outlet=Hlídač státu · published= · claims=CLM-24";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-27.md";""
"138";"SRC-28";"source";"SRC-28 — Deník.cz";"";"turek";"outlet=Deník.cz · published=2025-06-23 · claims=CLM-25";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-28.md";""
"139";"SRC-29";"source";"SRC-29 — Blesk.cz";"";"turek";"outlet=Blesk.cz · published=2025-06-23 · claims=CLM-25 CLM-26";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-29.md";""
"140";"SRC-30";"source";"SRC-30 — HN.cz (Hospodářské noviny)";"";"turek";"outlet=HN.cz (Hospodářské noviny) · published=2025-07-08 · claims=CLM-25 CLM-26";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-30.md";""
"141";"SRC-31";"source";"SRC-31 — ČT24";"";"turek";"outlet=ČT24 (Česká televize) · published=2026-05-12 · claims=CLM-27";"e3c25ea 2026-07-29";"dossiers/macinka-turek/sources/src-31.md";""
"142";"SRC-32";"source";"SRC-32 — Deník.cz";"";"turek";"outlet=Deník.cz · published=2025-10-15 · claims=CLM-28 CLM-29";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-32.md";""
"143";"SRC-33";"source";"SRC-33 — Blesk.cz";"";"turek";"outlet=Blesk.cz · published=2026-07-17 · claims=CLM-30";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-33.md";""
"144";"SRC-34";"source";"SRC-34 — Manipulátoři.cz";"";"turek";"outlet=Manipulátoři.cz · published=2020-04-03 · claims=CLM-31";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-34.md";""
"145";"SRC-35";"source";"SRC-35 — Forum24";"";"turek";"outlet=Forum24 · published=2024-06-02 · claims=CLM-31";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-35.md";""
"146";"SRC-36";"source";"SRC-36 — Aktuálně.cz";"";"turek";"outlet=Aktuálně.cz · published=2025-12-08 · claims=CLM-32 CLM-33";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-36.md";""
"147";"SRC-37";"source";"SRC-37 — Neovlivní.cz";"";"turek";"outlet=Neovlivní.cz · published=2026-03-01 · claims=CLM-33";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-37.md";""
"148";"SRC-38";"source";"SRC-38 — Blesk.cz";"";"turek";"outlet=Blesk.cz · published=2026-07-04 · claims=CLM-34";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-38.md";""
"149";"SRC-39";"source";"SRC-39 — Seznam Zprávy";"";"macinka turek";"outlet=Seznam Zprávy · published=2025-08-14 · claims=CLM-35";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-39.md";""
"150";"SRC-40";"source";"SRC-40 — Motoristé sobě / UDHPSH";"";"macinka turek";"outlet=Motoristé sobě (motoristesobe.cz/udhpsh) · published= · claims=CLM-35";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-40.md";""
"151";"SRC-41";"source";"SRC-41 — Hlídač státu (Richard Chlad, sponzoring)";"";"macinka turek";"outlet=Hlídač státu · published= · claims=CLM-36";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-41.md";""
"152";"SRC-42";"source";"SRC-42 — CNN Prima NEWS";"";"macinka turek";"outlet=CNN Prima NEWS · published=2025-10-16 · claims=CLM-36";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-42.md";""
"153";"SRC-43";"source";"SRC-43 — Aktuálně.cz";"";"macinka turek";"outlet=Aktuálně.cz · published=2026-03-17 · claims=CLM-37";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-43.md";""
"154";"SRC-44";"source";"SRC-44 — Deník.cz";"";"turek";"outlet=Deník.cz · published=2026-01-09 · claims=CLM-38 CLM-39";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-44.md";""
"155";"SRC-45";"source";"SRC-45 — HN.cz (Hospodářské noviny)";"";"macinka turek";"outlet=HN.cz (Hospodářské noviny) · published=2026-01-07 · claims=CLM-38 CLM-40";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-45.md";""
"156";"SRC-46";"source";"SRC-46 — Deník.cz";"";"macinka";"outlet=Deník.cz · published=2026-02-04 · claims=CLM-40";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-46.md";""
"157";"SRC-47";"source";"SRC-47 — Deník N";"";"turek";"outlet=Deník N · published=2026-07-28 · claims=CLM-41 CLM-42";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-47.md";""
"158";"SRC-48";"source";"SRC-48 — Aktuálně.cz";"";"turek";"outlet=Aktuálně.cz · published=2026-07-28 · claims=CLM-41 CLM-42";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-48.md";""
"159";"SRC-49";"source";"SRC-49 — Deník.cz";"";"macinka";"outlet=Deník.cz · published=2026-02-23 · claims=CLM-43";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-49.md";""
"160";"SRC-50";"source";"SRC-50 — Vláda České republiky (oficiální web)";"";"macinka";"outlet=Vláda České republiky (vlada.gov.cz) · published=2026-02-23 · claims=CLM-43";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-50.md";""
"161";"SRC-51";"source";"SRC-51 — Blesk.cz";"";"turek";"outlet=Blesk.cz · published=2026-07-27 · claims=CLM-44";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-51.md";""
"162";"SRC-52";"source";"SRC-52 — Deník N";"";"turek";"outlet=Deník N · published=2026-07-27 · claims=CLM-44";"e4c652f 2026-07-29";"dossiers/macinka-turek/sources/src-52.md";""
"163";"SRC-53";"source";"SRC-53 — ČT24";"";"turek";"outlet=ČT24 (Česká televize) · published=2024-11-08 · claims=CLM-45";"e3c25ea 2026-07-29";"dossiers/macinka-turek/sources/src-53.md";""
"164";"SRC-54";"source";"SRC-54 — Echo24.cz";"";"turek";"outlet=Echo24.cz · published=2026-05-13 · claims=CLM-27";"e3c25ea 2026-07-29";"dossiers/macinka-turek/sources/src-54.md";""
"165";"";"page";"Petr Macinka";"";"";"";"e4c652f 2026-07-29";"dossiers/petr-macinka/_index.md";""
"166";"";"page";"Kauzy — Petr Macinka";"";"";"";"e4c652f 2026-07-29";"dossiers/petr-macinka/cases/_index.md";""
"167";"";"page";"Tvrzení — Petr Macinka";"";"";"";"e4c652f 2026-07-29";"dossiers/petr-macinka/claims/_index.md";""
"168";"";"page";"Entity — Petr Macinka";"";"";"";"e4c652f 2026-07-29";"dossiers/petr-macinka/entities/_index.md";""
"169";"";"page";"Evidence — Petr Macinka";"";"";"";"325e74a 2026-07-29";"dossiers/petr-macinka/evidence/_index.md";""
"170";"";"page";"Mezery — Petr Macinka";"";"";"";"e4c652f 2026-07-29";"dossiers/petr-macinka/gaps/_index.md";""
"171";"";"page";"Vztahy — Petr Macinka";"";"";"";"e4c652f 2026-07-29";"dossiers/petr-macinka/relations/_index.md";""
"172";"";"page";"Zdroje — Petr Macinka";"";"";"";"e4c652f 2026-07-29";"dossiers/petr-macinka/sources/_index.md";""
"173";"";"page";"Registr entit";"";"";"";"ef57a82 2026-07-29";"entities/_index.md";""
"174";"babis";"entity";"Andrej Babiš (premiér)";"";"";"dossiers=macinka-turek petr-macinka filip-turek";"e4c652f 2026-07-29";"entities/babis.md";""
"175";"cerveny";"entity";"Igor Červený";"";"";"dossiers=macinka-turek petr-macinka";"e4c652f 2026-07-29";"entities/cerveny.md";""
"176";"chlad";"entity";"Richard Chlad (sponzor)";"";"";"dossiers=macinka-turek petr-macinka filip-turek";"e4c652f 2026-07-29";"entities/chlad.md";""
"177";"ep";"entity";"Evropský parlament";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/ep.md";""
"178";"gmrgas";"entity";"GMR GAS UA LLC (Kyjev)";"";"";"dossiers=macinka-turek petr-macinka";"e4c652f 2026-07-29";"entities/gmrgas.md";""
"179";"greendeal";"entity";"Zmocněnec pro Green Deal";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/greendeal.md";""
"180";"kauza2024";"entity";"Kauza 2024: fotografie a svícny";"";"";"dossiers=macinka-turek petr-macinka filip-turek";"e4c652f 2026-07-29";"entities/kauza2024.md";""
"181";"kauza2025";"entity";"Kauza 2025: smazané příspěvky";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/kauza2025.md";""
"182";"klubmotoristu";"entity";"Klub motoristů, z.s.";"";"";"dossiers=macinka-turek petr-macinka";"e4c652f 2026-07-29";"entities/klubmotoristu.md";""
"183";"macinka";"entity";"Petr Macinka";"";"";"dossiers=macinka-turek petr-macinka";"325e74a 2026-07-29";"entities/macinka.md";""
"184";"motoriste";"entity";"Motoristé sobě";"";"";"dossiers=macinka-turek petr-macinka filip-turek";"e4c652f 2026-07-29";"entities/motoriste.md";""
"185";"mzdrav";"entity";"Ministerstvo zdravotnictví";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/mzdrav.md";""
"186";"mzp2026";"entity";"Jmenování ministrem ŽP (2026)";"";"";"dossiers=macinka-turek petr-macinka filip-turek";"e4c652f 2026-07-29";"entities/mzp2026.md";""
"187";"nehoda2026";"entity";"Nehoda 2026";"";"";"dossiers=macinka-turek petr-macinka filip-turek";"e4c652f 2026-07-29";"entities/nehoda2026.md";""
"188";"nemocnice-homolce";"entity";"Nemocnice Na Homolce";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/nemocnice-homolce.md";""
"189";"pavel";"entity";"Petr Pavel (prezident)";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/pavel.md";""
"190";"policie";"entity";"Policie ČR";"";"";"dossiers=macinka-turek filip-turek";"e3c25ea 2026-07-29";"entities/policie.md";""
"191";"statni-zastupitelstvi";"entity";"Státní zastupitelství";"";"";"dossiers=macinka-turek filip-turek";"e3c25ea 2026-07-29";"entities/statni-zastupitelstvi.md";""
"192";"szpi";"entity";"SZPI";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/szpi.md";""
"193";"trestniozn";"entity";"Trestní oznámení (2025)";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/trestniozn.md";""
"194";"turek";"entity";"Filip Turek";"";"";"dossiers=macinka-turek filip-turek";"325e74a 2026-07-29";"entities/turek.md";""
"195";"vlada";"entity";"Vláda (ANO + SPD + Motoristé)";"";"";"dossiers=macinka-turek petr-macinka filip-turek";"e4c652f 2026-07-29";"entities/vlada.md";""
"196";"zapper-club";"entity";"Zapper-Club s.r.o.";"";"";"dossiers=macinka-turek filip-turek";"e4c652f 2026-07-29";"entities/zapper-club.md";""
"197";"";"page";"Globální mapa";"";"";"";"ef57a82 2026-07-29";"map/_index.md";""
